city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Caracas,10.5061,-66.9144,Venezuela,VE,Miranda,primary,2245744,2245744
Valencia,10.1667,-68.0000,Venezuela,VE,Carabobo,admin,1958724,1484430
Maracaibo,10.6333,-71.6333,Venezuela,VE,Zulia,admin,1551539,1551539
Maracay,10.2469,-67.5958,Venezuela,VE,Aragua,admin,1102088,1102088
Barquisimeto,10.0678,-69.3467,Venezuela,VE,Lara,admin,1059092,1059092
Maturín,9.7423,-63.1889,Venezuela,VE,Monagas,admin,753254,753254
Ciudad Guayana,8.3224,-62.6897,Venezuela,VE,Bolívar,minor,751331,751331
Catia La Mar,10.6038,-67.0303,Venezuela,VE,La Guaira,minor,661897,661897
Santa Teresa del Tuy,10.2333,-66.6500,Venezuela,VE,Miranda,minor,525321,525321
Barcelona,10.1362,-64.6862,Venezuela,VE,Anzoátegui,admin,454200,454200
Petare,10.4833,-66.8167,Venezuela,VE,Miranda,minor,448861,448861
Ciudad Bolívar,8.1029,-63.5470,Venezuela,VE,Bolívar,admin,422578,422578
Barinas,8.6333,-70.2167,Venezuela,VE,Barinas,admin,397279,397279
Cumaná,10.4500,-64.1667,Venezuela,VE,Sucre,admin,374706,374706
Cabimas,10.4000,-71.4333,Venezuela,VE,Zulia,minor,351735,351735
Los Teques,10.3411,-67.0406,Venezuela,VE,Miranda,admin,332725,332725
Puerto La Cruz,10.2167,-64.6167,Venezuela,VE,Anzoátegui,minor,306261,306261
Punto Fijo,11.7167,-70.1833,Venezuela,VE,Falcón,minor,287558,287558
San Cristóbal,7.7682,-72.2322,Venezuela,VE,Táchira,admin,285872,285872
Coro,11.3950,-69.6816,Venezuela,VE,Falcón,admin,265569,265569
Turmero,10.2283,-67.4753,Venezuela,VE,Aragua,minor,254880,254880
Valera,9.3206,-70.6078,Venezuela,VE,Trujillo,minor,250000,250000
Baruta,10.4780,-66.8618,Venezuela,VE,Miranda,minor,240755,240755
San Felipe,10.3353,-68.7458,Venezuela,VE,Yaracuy,admin,220786,220786
Cúa,10.1667,-66.8833,Venezuela,VE,Miranda,minor,214823,214823
La Victoria,10.2278,-67.3336,Venezuela,VE,Aragua,minor,214492,214492
El Tigre,8.8858,-64.2611,Venezuela,VE,Anzoátegui,minor,213524,213524
Puerto Cabello,10.4667,-68.0167,Venezuela,VE,Carabobo,minor,209080,209080
Guarenas,10.4739,-66.5383,Venezuela,VE,Miranda,minor,208663,208663
La Guaira,10.6000,-66.9331,Venezuela,VE,La Guaira,admin,203520,203520
Guacara,10.2333,-67.8833,Venezuela,VE,Carabobo,minor,200212,200212
Mérida,8.5833,-71.1333,Venezuela,VE,Mérida,admin,199878,199878
Tocuyito,10.0889,-68.0922,Venezuela,VE,Carabobo,minor,197446,197446
Acarigua,9.5597,-69.2019,Venezuela,VE,Portuguesa,minor,195637,195637
San Fernando,7.8878,-67.4724,Venezuela,VE,Apure,admin,194274,194274
Guanare,9.0436,-69.7489,Venezuela,VE,Portuguesa,admin,192644,192644
Araure,9.5667,-69.2167,Venezuela,VE,Portuguesa,minor,188800,188800
Guatire,10.4717,-66.5406,Venezuela,VE,Miranda,minor,187262,187262
San Diego,10.2558,-67.9539,Venezuela,VE,Carabobo,minor,187215,187215
